file,index,spike_time_s,spike_time_mmss,peak_x_noise_floor,interval_from_prev_s
260825,1,17.07,0:17,26.8,
260825,2,25.68,0:25,37.4,8.61
260825,3,35.87,0:35,33.9,10.19
260825,4,42.02,0:42,14.5,6.15
260825,5,55.82,0:55,27.6,13.80
260825,6,57.39,0:57,36.8,1.57
260825,7,59.62,0:59,25.6,2.23
260825,8,63.60,1:03,41.7,3.98
260826,1,63.73,1:03,11.7,
260826,2,88.64,1:28,16.0,24.91
260826,3,104.87,1:44,12.3,16.23
260826,4,111.42,1:51,11.3,6.55
260826,5,137.19,2:17,13.1,25.77
260826,6,160.76,2:40,13.3,23.57
260826,7,181.58,3:01,16.9,20.82
260827_1257,1,71.48,1:11,35.8,
260827_1257,2,98.94,1:38,23.8,27.46
260827_1257,3,101.48,1:41,21.6,2.54
260827_1257,4,108.17,1:48,12.2,6.69
260827_1257,5,120.62,2:00,30.0,12.45
260827_1257,6,121.90,2:01,17.8,1.28
260827_1257,7,146.58,2:26,17.7,24.68
260827_1257,8,165.21,2:45,29.5,18.63
260827_1257,9,183.84,3:03,15.3,18.63
260827_1257,10,195.07,3:15,25.3,11.23
260827_1257,11,207.91,3:27,25.2,12.84
260827_1257,12,209.49,3:29,13.4,1.58
260827_1257,13,218.39,3:38,25.6,8.90
260827_1257,14,245.23,4:05,28.3,26.84
260827_1257,15,269.01,4:29,26.2,23.78
260827_1257,16,292.32,4:52,33.6,23.31
260827_1257,17,310.86,5:10,20.2,18.54
260827_1257,18,313.38,5:13,36.8,2.52
260827_1257,19,316.50,5:16,22.5,3.12
260827_1257,20,342.53,5:42,27.5,26.03
260827_1257,21,344.08,5:44,16.6,1.55
260827_1257,22,361.30,6:01,33.6,17.22
260827_1257,23,367.92,6:07,27.8,6.62
260827_1257,24,379.25,6:19,148.0,11.33
260827_1257,25,392.26,6:32,23.8,13.01
260827_1257,26,412.64,6:52,15.3,20.38
260827_1257,27,414.71,6:54,19.9,2.07
260827_1257,28,416.71,6:56,28.0,2.00
260827_1257,29,419.59,6:59,21.2,2.88
260827_1257,30,426.16,7:06,29.2,6.57
260827_1257,31,441.41,7:21,33.2,15.25
260827_1257,32,466.86,7:46,19.0,25.45
260827_1257,33,491.68,8:11,28.8,24.82
260827_1257,34,508.90,8:28,14.4,17.22
260827_1257,35,516.23,8:36,28.2,7.33
260827_1257,36,527.29,8:47,12.8,11.06
260827_1257,37,540.47,9:00,23.5,13.18
260827_1257,38,564.66,9:24,20.8,24.19
260827_1257,39,588.69,9:48,25.0,24.03
260827_1257,40,613.18,10:13,27.8,24.49
260827_1257,41,618.12,10:18,14.9,4.94
260827_1257,42,631.92,10:31,11.8,13.80
260827_1257,43,633.74,10:33,12.6,1.82
260827_1257,44,637.51,10:37,36.3,3.77
260828_010204,1,69.37,1:09,61.2,
260828_010204,2,82.98,1:22,23.4,13.61
260828_010204,3,94.21,1:34,59.6,11.23
260828_010204,4,119.17,1:59,61.3,24.96
260828_010204,5,144.01,2:24,60.2,24.84
260828_010204,6,146.02,2:26,29.4,2.01
260828_010204,7,156.11,2:36,24.8,10.09
260828_010204,8,167.17,2:47,82.1,11.06
260828_010204,9,192.85,3:12,52.7,25.68
260828_010204,10,216.48,3:36,53.7,23.63
260828_010204,11,224.60,3:44,21.3,8.12
260828_010204,12,241.47,4:01,51.4,16.87
260828_010204,13,251.14,4:11,73.5,9.67
260828_010204,14,261.26,4:21,34.7,10.12
260828_010204,15,266.41,4:26,56.7,5.15
260828_010204,16,285.66,4:45,54.4,19.25
260828_010204,17,292.07,4:52,52.0,6.41
260828_010204,18,317.62,5:17,54.8,25.55
260828_010204,19,343.46,5:43,43.2,25.84
260828_010204,20,346.18,5:46,32.2,2.72
260828_010204,21,355.69,5:55,29.7,9.51
260828_010204,22,368.37,6:08,50.8,12.68
260828_010204,23,372.99,6:12,21.4,4.62
260828_010204,24,390.96,6:30,69.0,17.97
260828_010204,25,406.04,6:46,24.8,15.08
260828_010204,26,416.16,6:56,59.0,10.12
260828_010204,27,427.26,7:07,21.6,11.10
260828_010204,28,439.05,7:19,51.4,11.79
260828_010204,29,461.69,7:41,50.3,22.64
260828_010204,30,465.88,7:45,48.6,4.19
260828_010204,31,469.88,7:49,20.9,4.00
260828_010204,32,490.32,8:10,72.5,20.44
260828_010204,33,516.42,8:36,51.8,26.10
260828_010204,34,539.26,8:59,61.6,22.84
260828_010204,35,565.59,9:25,77.6,26.33
260828_010204,36,566.99,9:26,55.8,1.40
260828_010204,37,568.38,9:28,32.4,1.39
260828_010204,38,571.74,9:31,21.5,3.36
260828_010204,39,589.78,9:49,63.0,18.04
260828_010204,40,616.35,10:16,66.5,26.57
260828_010204,41,639.10,10:39,51.3,22.75
260828_130805,1,78.15,1:18,129.8,
260828_130805,2,106.46,1:46,123.6,28.31
260828_130805,3,112.38,1:52,36.5,5.92
260828_130805,4,130.71,2:10,123.7,18.33
260828_130805,5,157.68,2:37,163.1,26.97
260828_130805,6,182.71,3:02,147.7,25.03
260828_130805,7,210.87,3:30,167.2,28.16
260828_130805,8,224.74,3:44,43.6,13.87
260828_130805,9,236.81,3:56,129.6,12.07
260828_130805,10,264.44,4:24,109.8,27.63
260828_130805,11,288.56,4:48,174.4,24.12
260828_130805,12,315.96,5:15,129.7,27.40
260828_130805,13,326.18,5:26,70.6,10.22
260828_130805,14,337.67,5:37,35.3,11.49
260828_130805,15,341.70,5:41,73.5,4.03
260828_130805,16,370.21,6:10,118.0,28.51
260828_130805,17,396.20,6:36,166.0,25.99
260828_130805,18,423.03,7:03,141.1,26.83
260828_130805,19,447.72,7:27,131.6,24.69
260828_130805,20,450.16,7:30,35.0,2.44
260828_130805,21,475.89,7:55,158.6,25.73
260828_130805,22,501.84,8:21,160.5,25.95
260828_130805,23,530.79,8:50,181.4,28.95
260828_130805,24,555.03,9:15,136.2,24.24
260828_130805,25,561.44,9:21,52.3,6.41
260828_130805,26,581.77,9:41,132.2,20.33
260828_130805,27,606.72,10:06,171.7,24.95
260828_130805,28,634.27,10:34,145.9,27.55
260828_130805,29,638.58,10:38,77.4,4.31
260828_184328,1,73.00,1:13,65.2,
260828_184328,2,101.00,1:41,83.0,28.00
260828_184328,3,111.00,1:51,30.3,10.00
260828_184328,4,124.00,2:04,107.0,13.00
260828_184328,5,133.00,2:13,22.3,9.00
260828_184328,6,152.00,2:32,2.6,19.00
260828_184328,7,164.00,2:44,65.5,12.00
260828_184328,8,181.00,3:01,141.0,17.00
260828_184328,9,208.00,3:28,68.5,27.00
260828_184328,10,234.00,3:54,66.3,26.00
260828_184328,11,262.00,4:22,95.3,28.00
260828_184328,12,275.00,4:35,56.2,13.00
260828_184328,13,290.00,4:50,107.8,15.00
260828_184328,14,318.00,5:18,109.5,28.00
